"","beta","alpha","gamma","W","c","v","r","k","sigma","spec","transformation"
"44",3127.50318522464,1625836.98199308,1407.37643335109,2.18368321924696,0,89929.9153285874,0.201282685349239,20226,0.0000200307674145246,"beta","2"
"45",1563.75159261232,1625836.98199308,1407.37643335109,2.18368321924696,0.1,8992.99153285874,0.201282685349239,20226,0.0000200307674145246,"c and v","0.1  and  8992.99153285874"
"46",1563.75159261232,1625836.98199308,1407.37643335109,2.18368321924696,0.1,13489.4872992881,0.201282685349239,20226,0.0000200307674145246,"c and v","0.1  and  13489.4872992881"
"47",1563.75159261232,1625836.98199308,1407.37643335109,2.18368321924696,0.1,17985.9830657175,0.201282685349239,20226,0.0000200307674145246,"c and v","0.1  and  17985.9830657175"
"48",1563.75159261232,1625836.98199308,1407.37643335109,2.18368321924696,0.1,22482.4788321469,0.201282685349239,20226,0.0000200307674145246,"c and v","0.1  and  22482.4788321469"
"49",1563.75159261232,1625836.98199308,1407.37643335109,2.18368321924696,0.1,26978.9745985762,0.201282685349239,20226,0.0000200307674145246,"c and v","0.1  and  26978.9745985762"
"50",1563.75159261232,1625836.98199308,1407.37643335109,2.18368321924696,0.1,31475.4703650056,0.201282685349239,20226,0.0000200307674145246,"c and v","0.1  and  31475.4703650056"
"51",1563.75159261232,1625836.98199308,1407.37643335109,2.18368321924696,0.1,35971.966131435,0.201282685349239,20226,0.0000200307674145246,"c and v","0.1  and  35971.966131435"
"52",1563.75159261232,1625836.98199308,1407.37643335109,2.18368321924696,0.1,40468.4618978643,0.201282685349239,20226,0.0000200307674145246,"c and v","0.1  and  40468.4618978643"
"53",1563.75159261232,1625836.98199308,1407.37643335109,2.18368321924696,0.1,44964.9576642937,0.201282685349239,20226,0.0000200307674145246,"c and v","0.1  and  44964.9576642937"
"54",1563.75159261232,1625836.98199308,1407.37643335109,2.18368321924696,0.1,49461.4534307231,0.201282685349239,20226,0.0000200307674145246,"c and v","0.1  and  49461.4534307231"
"55",1563.75159261232,1625836.98199308,1407.37643335109,2.18368321924696,0.1,53957.9491971524,0.201282685349239,20226,0.0000200307674145246,"c and v","0.1  and  53957.9491971524"
"56",1563.75159261232,1625836.98199308,1407.37643335109,2.18368321924696,0.1,58454.4449635818,0.201282685349239,20226,0.0000200307674145246,"c and v","0.1  and  58454.4449635818"
"57",1563.75159261232,1625836.98199308,1407.37643335109,2.18368321924696,0.1,62950.9407300112,0.201282685349239,20226,0.0000200307674145246,"c and v","0.1  and  62950.9407300112"
"58",1563.75159261232,1625836.98199308,1407.37643335109,2.18368321924696,0.1,67447.4364964406,0.201282685349239,20226,0.0000200307674145246,"c and v","0.1  and  67447.4364964406"
"59",1563.75159261232,1625836.98199308,1407.37643335109,2.18368321924696,0.1,71943.9322628699,0.201282685349239,20226,0.0000200307674145246,"c and v","0.1  and  71943.9322628699"
"60",1563.75159261232,1625836.98199308,1407.37643335109,2.18368321924696,0.1,76440.4280292993,0.201282685349239,20226,0.0000200307674145246,"c and v","0.1  and  76440.4280292993"
"61",1563.75159261232,1625836.98199308,1407.37643335109,2.18368321924696,0.1,80936.9237957287,0.201282685349239,20226,0.0000200307674145246,"c and v","0.1  and  80936.9237957287"
"62",1563.75159261232,1625836.98199308,1407.37643335109,2.18368321924696,0.1,85433.419562158,0.201282685349239,20226,0.0000200307674145246,"c and v","0.1  and  85433.419562158"
"63",1563.75159261232,1625836.98199308,1407.37643335109,2.18368321924696,0.1,89929.9153285874,0.201282685349239,20226,0.0000200307674145246,"c and v","0.1  and  89929.9153285874"
"64",1563.75159261232,1625836.98199308,1407.37643335109,2.18368321924696,0.1,94426.4110950168,0.201282685349239,20226,0.0000200307674145246,"c and v","0.1  and  94426.4110950168"
"65",1563.75159261232,1625836.98199308,1407.37643335109,2.18368321924696,0.1,98922.9068614462,0.201282685349239,20226,0.0000200307674145246,"c and v","0.1  and  98922.9068614462"
"66",1563.75159261232,1625836.98199308,1407.37643335109,2.18368321924696,0.1,103419.402627876,0.201282685349239,20226,0.0000200307674145246,"c and v","0.1  and  103419.402627876"
"67",1563.75159261232,1625836.98199308,1407.37643335109,2.18368321924696,0.1,107915.898394305,0.201282685349239,20226,0.0000200307674145246,"c and v","0.1  and  107915.898394305"
"68",1563.75159261232,1625836.98199308,1407.37643335109,2.18368321924696,0.1,112412.394160734,0.201282685349239,20226,0.0000200307674145246,"c and v","0.1  and  112412.394160734"
"69",1563.75159261232,1625836.98199308,1407.37643335109,2.18368321924696,0.1,116908.889927164,0.201282685349239,20226,0.0000200307674145246,"c and v","0.1  and  116908.889927164"
"70",1563.75159261232,1625836.98199308,1407.37643335109,2.18368321924696,0.1,121405.385693593,0.201282685349239,20226,0.0000200307674145246,"c and v","0.1  and  121405.385693593"
