"","identifier","names","names_2","x","values","lag_sign","Stable","beta","alpha","gamma","W","W1","W2","c","v","r","k","interest_rate","sigma","spec","transformation","id_2"
"263",79,"ss_bertrand_lq","ss_bertrand_lq1",17439.5,0.0572674500591006,2,"Stable",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,13012.5904513667,0.75,2000,53957.9491971524,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c","c= 6732.24 and v= 0.04",1
"264",79,"ss_cournot_lq","ss_cournot_lq1",18270.5,0.0627207227755093,2,"Stable",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,13012.5904513667,0.75,2000,53957.9491971524,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c","c= 6732.24 and v= 0.04",1
"265",80,"ss_monop_lq","ss_monop_lq1",17297,0.0482647237391234,2,"Stable",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,13012.5904513667,0.75,5000,80936.9237957287,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c","c= 8083.69 and v= 0.06",1
"266",80,"ss_bertrand_lq","ss_bertrand_lq1",17336,0.0371040713503135,2,"Stable",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,13012.5904513667,0.75,5000,80936.9237957287,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c","c= 8083.69 and v= 0.06",1
"267",80,"ss_cournot_lq","ss_cournot_lq1",18249.5,0.0395931987491736,2,"Stable",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,13012.5904513667,0.75,5000,80936.9237957287,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c","c= 8083.69 and v= 0.06",1
"268",81,"ss_monop_lq","ss_monop_lq1",17297,0.0482647237391234,2,"Stable",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,13012.5904513667,0.75,5000,71943.9322628699,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c","c= 4789.6 and v= 0.07",1
"269",81,"ss_bertrand_lq","ss_bertrand_lq1",17377,0.00643017381179334,2,"Stable",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,13012.5904513667,0.75,5000,71943.9322628699,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c","c= 4789.6 and v= 0.07",1
"270",81,"ss_cournot_lq","ss_cournot_lq1",18259,0.0621474906383241,2,"Stable",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,13012.5904513667,0.75,5000,71943.9322628699,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c","c= 4789.6 and v= 0.07",1
"271",82,"ss_monop_lq","ss_monop_lq1",17297,0.0482647237391234,2,"Stable",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,13012.5904513667,0.75,5000,62950.9407300112,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c","c= 3142.55 and v= 0.08",1
"272",82,"ss_bertrand_lq","ss_bertrand_lq1",17418,0.00793631597929334,2,"Stable",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,13012.5904513667,0.75,5000,62950.9407300112,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c","c= 3142.55 and v= 0.08",1
