"","x","names","values","lag_sign","row_params_sensitivity"
"2665",16975,"ss_bertrand_lq",0.0539589036760617,2,332
"2666",17105,"ss_bertrand",0.00645577387308549,2,332
"2667",17229.5,"ss_monop_lq",0.0523210534370264,2,332
"2668",17259,"ss_monop",0.0348647239404727,2,332
"2669",18196,"ss_cournot_lq",0.0071189221528698,2,332
"2670",18213.5,"ss_cournot",0.0220295774662986,2,332
"2671",1674,"ss_bertrand_lq",-0.0249768973749269,-2,333
"2672",16997.5,"ss_bertrand_lq",0.0158028741725502,2,333
"2673",17105,"ss_bertrand",0.00645577387308549,2,333
"2674",17235.5,"ss_monop_lq",0.0263568265346521,2,333
"2675",17259,"ss_monop",0.0348647239404727,2,333
"2676",18206,"ss_cournot_lq",0.0282961524180791,2,333
"2677",18213.5,"ss_cournot",0.0220295774662986,2,333
"2678",653.5,"ss_monop_lq",0.0666663064979076,2,334
"2679",2338,"ss_monop_lq",-0.0264825143877374,-2,334
"2680",17235.5,"ss_monop_lq",0.03568222014394,2,334
"2681",1656,"ss_bertrand_lq",-0.0186105768859761,-2,334
"2682",16996.5,"ss_bertrand_lq",0.0639057338029261,2,334
"2683",17105,"ss_bertrand",0.00645577387308549,2,334
"2684",17259,"ss_monop",0.0348647239404727,2,334
"2685",18209.5,"ss_cournot_lq",0.00492709915130263,2,334
"2686",18213.5,"ss_cournot",0.0220295774662986,2,334
"2687",2694.5,"ss_monop_lq",0.064401155796304,2,335
"2688",2695,"ss_monop_lq",-0.000203687378302675,-2,335
"2689",17241.5,"ss_monop_lq",0.00192318255244572,2,335
"2690",719.5,"ss_cournot_lq",0.0488274178384529,2,335
"2691",1287.5,"ss_cournot_lq",-0.00540535444019952,-2,335
"2692",18219.5,"ss_cournot_lq",0.0116539076697109,2,335
"2693",17020.5,"ss_bertrand_lq",0.0144729578732949,2,335
"2694",17105,"ss_bertrand",0.00645577387308549,2,335
"2695",17259,"ss_monop",0.0348647239404727,2,335
"2696",18213.5,"ss_cournot",0.0220295774662986,2,335
"2697",1719.5,"ss_bertrand_lq",-0.0020146587180534,-2,336
"2698",16955,"ss_bertrand_lq",0.0644985706052239,2,336
"2699",17084.5,"ss_bertrand",0.00918879247024051,2,336
"2700",17229.5,"ss_monop_lq",0.0398968069752073,2,336
"2701",17259,"ss_monop",0.0348647239404727,2,336
"2702",18189,"ss_cournot_lq",0.0519962355862731,2,336
"2703",18210,"ss_cournot",0.0461250404584348,2,336
"2704",1726,"ss_bertrand_lq",-0.0301901464987395,-2,337
"2705",16952.5,"ss_bertrand_lq",0.0107271230057222,2,337
"2706",17084.5,"ss_bertrand",0.00918879247024051,2,337
"2707",17229.5,"ss_monop_lq",0.0523210534370264,2,337
"2708",17259,"ss_monop",0.0348647239404727,2,337
"2709",18192.5,"ss_cournot_lq",0.0413201946784625,2,337
"2710",18210,"ss_cournot",0.0461250404584348,2,337
"2711",1688.5,"ss_bertrand_lq",-0.0413734796208587,-2,338
"2712",16975.5,"ss_bertrand_lq",0.0672483843652572,2,338
"2713",17084.5,"ss_bertrand",0.00918879247024051,2,338
"2714",17235.5,"ss_monop_lq",0.0263568265346521,2,338
"2715",17259,"ss_monop",0.0348647239404727,2,338
"2716",18202.5,"ss_cournot_lq",0.0636045980848507,2,338
"2717",18210,"ss_cournot",0.0461250404584348,2,338
"2718",653.5,"ss_monop_lq",0.0666663064979076,2,339
"2719",2338,"ss_monop_lq",-0.0264825143877374,-2,339
"2720",17235.5,"ss_monop_lq",0.03568222014394,2,339
"2721",1674.5,"ss_bertrand_lq",-0.0259408539753849,-2,339
"2722",16973.5,"ss_bertrand_lq",0.0210494784963657,2,339
"2723",17084.5,"ss_bertrand",0.00918879247024051,2,339
"2724",17259,"ss_monop",0.0348647239404727,2,339
"2725",18206,"ss_cournot_lq",0.0421654891953835,2,339
"2726",18210,"ss_cournot",0.0461250404584348,2,339
"2727",2694.5,"ss_monop_lq",0.064401155796304,2,340
"2728",2695,"ss_monop_lq",-0.000203687378302675,-2,340
"2729",17241.5,"ss_monop_lq",0.00192318255244572,2,340
"2730",715,"ss_cournot_lq",0.0266785078646876,2,340
"2731",1295.5,"ss_cournot_lq",-0.000161382951148425,-2,340
"2732",18216,"ss_cournot_lq",0.0500093566036526,2,340
"2733",16998,"ss_bertrand_lq",0.0679931648957108,2,340
"2734",17084.5,"ss_bertrand",0.00918879247024051,2,340
"2735",17259,"ss_monop",0.0348647239404727,2,340
"2736",18210,"ss_cournot",0.0461250404584348,2,340
"2737",1732.5,"ss_bertrand_lq",-0.0381180861073176,-2,341
"2738",16933,"ss_bertrand_lq",0.0581368865633749,2,341
"2739",17064,"ss_bertrand",0.0189256502253556,2,341
"2740",17229.5,"ss_monop_lq",0.0398968069752073,2,341
"2741",17259,"ss_monop",0.0348647239404727,2,341
"2742",18185,"ss_cournot_lq",0.00392549334429759,2,341
"2743",18206.5,"ss_cournot",0.0704525449370976,2,341
"2744",1739.5,"ss_bertrand_lq",-0.0228061885788975,-2,342
"2745",16930.5,"ss_bertrand_lq",0.0459143006490876,2,342
"2746",17064,"ss_bertrand",0.0189256502253556,2,342
"2747",17229.5,"ss_monop_lq",0.0523210534370264,2,342
"2748",17259,"ss_monop",0.0348647239404727,2,342
"2749",18189,"ss_cournot_lq",0.0757599172284245,2,342
"2750",18206.5,"ss_cournot",0.0704525449370976,2,342
"2751",1703,"ss_bertrand_lq",-0.0423182225698611,-2,343
"2752",16953,"ss_bertrand_lq",0.0586032759789532,2,343
"2753",17064,"ss_bertrand",0.0189256502253556,2,343
"2754",17235.5,"ss_monop_lq",0.0263568265346521,2,343
"2755",17259,"ss_monop",0.0348647239404727,2,343
"2756",18198.5,"ss_cournot_lq",0.0184282424904154,2,343
"2757",18206.5,"ss_cournot",0.0704525449370976,2,343
"2758",653.5,"ss_monop_lq",0.0666663064979076,2,344
"2759",2338,"ss_monop_lq",-0.0264825143877374,-2,344
"2760",17235.5,"ss_monop_lq",0.03568222014394,2,344
"2761",1693,"ss_bertrand_lq",-0.00596100714841441,-2,344
"2762",16951,"ss_bertrand_lq",0.0574164904753616,2,344
"2763",17064,"ss_bertrand",0.0189256502253556,2,344
"2764",17259,"ss_monop",0.0348647239404727,2,344
"2765",18202.5,"ss_cournot_lq",0.0796455079408815,2,344
"2766",18206.5,"ss_cournot",0.0704525449370976,2,344
"2767",2694.5,"ss_monop_lq",0.064401155796304,2,345
"2768",2695,"ss_monop_lq",-0.000203687378302675,-2,345
"2769",17241.5,"ss_monop_lq",0.00192318255244572,2,345
"2770",711,"ss_cournot_lq",0.0588972783763495,2,345
"2771",1303.5,"ss_cournot_lq",-0.00352557728311353,-2,345
"2772",18212,"ss_cournot_lq",0.00775378436480878,2,345
"2773",16975,"ss_bertrand_lq",0.062278114358719,2,345
"2774",17064,"ss_bertrand",0.0189256502253556,2,345
"2775",17259,"ss_monop",0.0348647239404727,2,345
"2776",18206.5,"ss_cournot",0.0704525449370976,2,345
"2777",1745.5,"ss_bertrand_lq",-0.0648395537139095,-2,346
"2778",16911,"ss_bertrand_lq",0.0605449253487222,2,346
"2779",17043.5,"ss_bertrand",0.0356599172557708,2,346
"2780",17229.5,"ss_monop_lq",0.0398968069752073,2,346
"2781",17259,"ss_monop",0.0348647239404727,2,346
"2782",18181.5,"ss_cournot_lq",0.0367227830208208,2,346
"2783",18202.5,"ss_cournot",0.0140604676255975,2,346
"2784",1753,"ss_bertrand_lq",-0.0040004916177736,-2,347
"2785",16908,"ss_bertrand_lq",0.0212091437393838,2,347
"2786",17043.5,"ss_bertrand",0.0356599172557708,2,347
"2787",17229.5,"ss_monop_lq",0.0523210534370264,2,347
"2788",17259,"ss_monop",0.0348647239404727,2,347
"2789",18185,"ss_cournot_lq",0.0298589285344519,2,347
"2790",18202.5,"ss_cournot",0.0140604676255975,2,347
"2791",1717.5,"ss_bertrand_lq",-0.0278538836971052,-2,348
"2792",16930.5,"ss_bertrand_lq",0.0595025936765978,2,348
"2793",17043.5,"ss_bertrand",0.0356599172557708,2,348
"2794",17235.5,"ss_monop_lq",0.0263568265346521,2,348
"2795",17259,"ss_monop",0.0348647239404727,2,348
"2796",18195,"ss_cournot_lq",0.0542510387975312,2,348
"2797",18202.5,"ss_cournot",0.0140604676255975,2,348
"2798",653.5,"ss_monop_lq",0.0666663064979076,2,349
"2799",2338,"ss_monop_lq",-0.0264825143877374,-2,349
"2800",17235.5,"ss_monop_lq",0.03568222014394,2,349
"2801",1712,"ss_bertrand_lq",-0.013715132652635,-2,349
"2802",16928,"ss_bertrand_lq",0.0347439557111784,2,349
"2803",17043.5,"ss_bertrand",0.0356599172557708,2,349
"2804",17259,"ss_monop",0.0348647239404727,2,349
"2805",18198.5,"ss_cournot_lq",0.0366599299912309,2,349
"2806",18202.5,"ss_cournot",0.0140604676255975,2,349
"2807",2694.5,"ss_monop_lq",0.064401155796304,2,350
"2808",2695,"ss_monop_lq",-0.000203687378302675,-2,350
"2809",17241.5,"ss_monop_lq",0.00192318255244572,2,350
"2810",706.5,"ss_cournot_lq",0.00208966392756338,2,350
"2811",1311.5,"ss_cournot_lq",-0.0153171359719124,-2,350
"2812",18208.5,"ss_cournot_lq",0.0466302376925682,2,350
"2813",16952,"ss_bertrand_lq",0.0669782147512024,2,350
"2814",17043.5,"ss_bertrand",0.0356599172557708,2,350
"2815",17259,"ss_monop",0.0348647239404727,2,350
"2816",18202.5,"ss_cournot",0.0140604676255975,2,350
"2817",1758,"ss_bertrand_lq",-0.0142545199560118,-2,351
"2818",16888.5,"ss_bertrand_lq",0.00290243503945931,2,351
"2819",17023,"ss_bertrand",0.0593851282424112,2,351
"2820",17229.5,"ss_monop_lq",0.0398968069752073,2,351
"2821",17259,"ss_monop",0.0348647239404727,2,351
"2822",18178,"ss_cournot_lq",0.069756847474423,2,351
"2823",18199,"ss_cournot",0.0388858892639519,2,351
"2824",1767,"ss_bertrand_lq",-0.0392595616114022,-2,352
"2825",16885.5,"ss_bertrand_lq",0.00586878281637837,2,352
"2826",17023,"ss_bertrand",0.0593851282424112,2,352
"2827",17229.5,"ss_monop_lq",0.0523210534370264,2,352
